Author_Last_Name_First_Name,Author_First_Name_Last_Name,Author_Biography,Description,Education,Latitude,Longitude
"MULLER, ALBERT A.",ALBERT A. MULLER,":</strong></p>
<p>Writer. Born:April 30, 1859, Summerfield. Parents:Anson Wheeler and Lydia Maria (Cobb) Hawley. Married: Rev. Edgar Young Mullins, June 2, 1886. Children:Two. Education:private tutor; Judson College. Husband was the fourth president of Southern Baptist Theological Seminary, Louisville, Ky., 1899-1928, and president of the Southern Baptist Convention and the Baptist World Alliance. Died February 6, 1936.</p>
<p>",Education: Judson College,Judson College,32.633738,-87.31794
"TOWNES, SAMUEL ALLEN",SAMUEL ALLEN TOWNES,";</strong><br />
Newspaper editor; lawyer. Born– 1806, Greenville, South Carolina. Parents–Samuel A. and Rachel Stokes Townes. Married– Joanna Lois Hall, January 23, 1834. . Children– eight. Education–University of Virginia; read law in Abbeville, South Carolina. Admitted to the bar in 1829; opened a partnership with a friend; founded a newspaper called the Whig. Moved to Marion, Alabama, in 1833, partly due to ill health. Opened a law partnership with Col. Henry C. Lea in 1834; edited the Alabama Mercury, 1835-1837; purchased the Plantation Hotel in 1838. Acquired land in the area. Conducted a newspaper in the mid-1840’s. Returned to South Carolina in December 1847; edited the Greenville Mountaineer and became active in politics. Died 1873.</p>
<p>",Education,No Alabama institutions or cities found,Not Applicable,Not Applicable
"PICKETT, ALBERT JAMES",ALBERT JAMES PICKETT,";</strong></p>
<p>Planter, historian. Born:Anson City, N.C., August 13, 1810. (Moved to Alabama at the age of eight). Parents: William Raiford and Frances Dickson Pickett. Married:Sarah Smith Harris. Children:nine. Education:attended Stafford County Academy in Virginia and Harvard College; read law with his brother William Dickson Pickett but never practiced. Operated a plantation in Autauga County; wrote on historical and agricultural subjects for newspapers and journals; did extensive research for his history of Alabama and for a history of the Southwest which he was writing at the time of his death. Military aide to Governor Clement C. Clay. Died October 28, 1858.</p>
<p>",Education: attended Stafford County Academy in Virginia,No Alabama institutions or cities found,Not Applicable,Not Applicable
"REYNOLDS, BERNARD ADAMS",BERNARD ADAMS REYNOLDS,";</strong></p>
<p>Attorney; journalist.  Born 1911, South Carolina.  Never married.  Education–graduated from Captain Alden Patridge’s Military School in New England; from Yale or Trinity College; read law and was admitted to the bar in South Carolina.  Moved to Mobile as a young man; wrote for the Mobile Tribune, including a regular column, “Mobile in Slices,” and his columns form the basis for his book Sketches of Mobile..  Served in the Confederate Army; captured at Fort Gaines and held as a prisoner of war at Ship Island.  Active in Mobile Theatre; wrote a play, “Raphael or the Ambitious Painter,” produced in Mobile about 1850.  Died June 1, 1878.</p>
<p>",Education,No Alabama institutions or cities found,Not Applicable,Not Applicable
"SMITH, NELSON FOOTE",NELSON FOOTE SMITH,";</strong></p>
<p>Attorney. Born: 1815, New York state. Married: Annie May Burdine, 1849. Children: one. Practiced law in Carrollton. Died 1865.</p>
<p>",,,Not Applicable,Not Applicable
"TANNER, JOHN THOMAS",JOHN THOMAS TANNER,":</strong></p>
<p>Businessman, elected official; political activiSt Born:Aug. 25, 1820 in Madison Co., Ala. Parents:Samuel and Margaret Tanner. Married:Susan Owen Wilson, Nov. 26, 1846. Children:Seven. Education:attended school in Athens, Ala. Began his career as a clerk in his father's store in Athens at the age of thirteen; in cotton business in New Orleans and Shreveport, 1842-1847; banker in Athens, 1847-1852; helped found the North and South Railroad (later L&N) during the Civil War and worked for the railroad for twenty-five years; US revenue collector, 1866-1867; real estate and immigration agent. Mayor of Athens for five consecutive terms. Member of theBoard of Trustees for Athens Female College, 1842-1892; president of the Board, 1880-1892. Helped organize the Alabama State Temperance Alliance, 1881; served as its chairman and secretary; vice-president of the National Temperance Society.Nominated 1886 as Prohibition candidate for governor, and in 1888 for vice president. Died June 15, 1899.</p>
<p>",Education: attended school in Athens,Athens,34.8028661,-86.9028661
"MOHR, CHARLES THEODORE",CHARLES THEODORE MOHR,":</strong></p>
<p>BotaniSt Born:Esslingen, Germany, December 28, 1824. Parents:Louis M. and Dorothea Mohr. Married:Sophia Roemer, 1852. Children:Five. Education:Polytechnic School, Stuttgart, 1845. Employed as a chemist, Brunn, Austria, 1847-1848; Cincinnati, Ohio, 1848; gold rush, California, 1849; farmer, Indiana, 1850; pharmaceutical business, Louisville, Ky., 1852; Mobile, Ala., 1857; survey of forests, Gulf States, 1880; botanist, Geological Survey of Alabana, 1884; University of Alabama, 1880; Division of Forestry, US Department of Agriculture, 1892; Baltimore Herbarium, Ashville, N.C., 1900. </p>
<p>",Education: University of Alabama,University of Alabama,33.2114385,-87.5114385
"ANTHONY, JAMES DANELLY",JAMES DANELLY ANTHONY,":</strong></p>
<p>Methodist clergyman; teacher; newspaper editor. Born:October 12, 1825, Abbeville, S. C. Parents:  Whitfield and Lucinda Miller Anthony. Married:Emily Baugh, November 23, 1847 (died 1867).Children: six. Married:Elizabeth Josephine Alexander, September 30, 1867 (died 1890). Children: six. Married:Anna Biggers Wiggins, July 21, 1890. Licensed to preach, 1846. Served Methodist churches in Alabama and Georgia, 1847-1898, with intervals of farming and teaching. Pastor of fourteen churches; presiding elder of four districts. Pastor in Sandersville, Georgia, during the Civil War; credited with convincing General Sherman not to burn the town. Edited the Jasper weekly <em>Mountain Eagle </em>for several years; and the <em>Herald and Georgian </em>of Sandersville, Ga., in the 1870's, while working as a minister. Wrote his history of Cherokee County in 1875 for the Gadsden Times, while serving a Methodist church in Gadsden. Died January 16, 1899.</p>
<p>",teacher,No Alabama institutions or cities found,Not Applicable,Not Applicable
"CLAY-CLOPTON, VIRGINIA CAROLINE TUNSTALL",VIRGINIA CAROLINE TUNSTALL CLAY-CLOPTON,":</strong></p>
<p>Socialite; political hostess. Born:January 16, 1825, Nash County, N.C. Parents:Dr. Peyton Randolph and Ann (Arrington) Tunstall. Married:Clement Claiborne Clay, February 1, 1843. Married: Judge David Clopton, November 29, 1887. Education:Attended a private school in Tuscaloosa and graduated from the Nashville Female Academy in 1840. Clement Clay was elected to the US Senate, 1853, and Mrs. Clay became a well-known figure in Washington, D.C. society. After the secession of Alabama, the Clays left Washington in January 1861. Clement Clay served in the Confederate Senate, 1861-63, and was appointed commissioner to Canada in 1864. He was imprisoned for a year in Fortress Monroe, Virginia, at the end of the war (1865-66) and was released through the efforts of his wife. In the 1890's Virginia Clay-Clopton became a pioneer advocate of woman suffrage in Alabama. Served as president of the Alabama Equal Rights Association from 1896 until 1900. Active in the United Daughters of the Confederacy. Died January 23, 1915.</p>
<p>",Education: Attended a private school in Tuscaloosa,Tuscaloosa,33.214318,-87.535959
"CURRY, JABEZ LAMAR MONROE",JABEZ LAMAR MONROE CURRY,":</strong></p>
<p>Advocate for education; college professor; legislator; attorney. Born:June 5, 1825, near Double Branches (Lincoln County), Georgia. Parents:William and Susan (Winn) Curry. Married Ann Bowie, March 4, 1847. Children: four.Married Mary Wortham Thomas, June 25, 1867. Education: graduated from the University of Georgia, 1843; from Dane Law School at Harvard, 1845. Admitted to the bar in Talladega, 1846; sat in the Alabama legislature in 1847, 1855, and 1857; US Congressman, 1852-1861 (withdrew with other Southerners, 1861); Confederate Congressman, 1861-1863. Served as a lieutenant colonel in the Confederate cavalry, 1864-65. Ordained as a Baptist minister, 1865; served as president of Howard College, 1865-68; professor of philosophy and law at Richmond College, Virginia, 1868-81. General agent for the Peabody Fund (a private foundation established for the promotion of education in the South), after 1881. Used the position to advocate for public education in the South, including the establishment of state normal schools for teacher preparation, the acceptance of responsibility for rural schools by state legislatures, and the provision of public schools for both black and white children. Considered the father of public schools in the states of the old Confederacy. Helped to organize the Southern Education Board and served as its director until his death. Twice appointed US Ambassador to Spain, 1885-88 and 1902. One of two Alabama citizens honored by having a statue placed in the U. S. Capitol. Died February 12, 1903.</p>
<p>",education: professor: Education: professor of philosophy and law at: education in the South: teacher preparation: Education Board and served as its,No Alabama institutions or cities found,Not Applicable,Not Applicable
