LastName_FirstName, FirstName_LastName, Birthplace_AL, Longitude, Latitude
"TOWNES, SAMUEL ALLEN"," ""SAMUEL ALLEN TOWNES""", Carolina,31.2401,-86.3147
"REYNOLDS, BERNARD ADAMS"," ""BERNARD ADAMS REYNOLDS""", Carolina,31.2401,-86.3147
"SMITH, NELSON FOOTE"," ""NELSON FOOTE SMITH""", York,32.4865,-88.2939
"TANNER, JOHN THOMAS"," ""JOHN THOMAS TANNER""", Madison,34.6993,-86.7483
"ANTHONY, JAMES DANELLY"," ""JAMES DANELLY ANTHONY""", Abbeville,31.5718,-85.2505
"CURRY, JABEZ LAMAR MONROE"," ""JABEZ LAMAR MONROE CURRY""", Lincoln,33.5943,-86.1186
"MANLY, BASIL JR."," ""BASIL MANLY JR.""", Carolina,31.2401,-86.3147
"WARE, MARY"," ""MARY WARE""", Madison,34.6993,-86.7483
"TAYLOR, THOMAS JONES"," ""THOMAS JONES TAYLOR""", Talladega,33.4359,-86.1
"VINCENT, JOHN HEYL"," ""JOHN HEYL VINCENT""", Sylvania,34.5582,-85.7986
"MASSEY, JOHN"," ""JOHN MASSEY""", Choctaw County,32.0179,-88.2547
"CUMMING, KATE"," ""KATE CUMMING""", Mobile,30.6954,-88.0399
"McGREGOR, ALBERT ALEXANDER"," ""ALBERT ALEXANDER McGREGOR""", Lawrence County,34.5264,-87.3108
"DuBOSE, JOHN WITHERSPOON"," ""JOHN WITHERSPOON DuBOSE""", Marengo County,32.2621,-87.6879
"HALBERT, HENRY SALE"," ""HENRY SALE HALBERT""", York,32.4865,-88.2939
"McEACHIN, ARCHIBALD BRUCE"," ""ARCHIBALD BRUCE McEACHIN""", Carolina,31.2401,-86.3147
"BLANDIN, ISABELLA MARGARET ELIZABETH JOHN"," ""ISABELLA MARGARET ELIZABETH JOHN BLANDIN""", Rosa,33.9501,-86.3864
"LITTLE, GEORGE"," ""GEORGE LITTLE""", Tuscaloosa,33.2098,-87.5692
"ROBERTSON, SAMUEL LOWRIE"," ""SAMUEL LOWRIE ROBERTSON""", Jackson,31.5082,-87.8942
"SANDERS, WILLIAM HENRY"," ""WILLIAM HENRY SANDERS""", Tuscaloosa,33.2098,-87.5692
"BYNUM, JASPER E."," ""JASPER E. BYNUM""", Oneonta,33.9487,-86.4722
