" ""SAMUEL ALLEN TOWNES""",
" ""BERNARD ADAMS REYNOLDS""",
" ""NELSON FOOTE SMITH""",
" ""JOHN THOMAS TANNER""",
" ""JAMES DANELLY ANTHONY""",
" ""JABEZ LAMAR MONROE CURRY""",https://en.wikipedia.org/wiki/Jabez_L._M._Curry
" ""BASIL MANLY JR.""",https://en.wikipedia.org/wiki/Basil_Manly_Jr.
" ""MARY WARE""",
" ""THOMAS JONES TAYLOR""",
" ""JOHN HEYL VINCENT""",https://en.wikipedia.org/wiki/John_Heyl_Vincent
" ""JOHN MASSEY""",
" ""KATE CUMMING""",https://en.wikipedia.org/wiki/Kate_Cumming
" ""ALBERT ALEXANDER McGREGOR""",
" ""JOHN WITHERSPOON DuBOSE""",
" ""HENRY SALE HALBERT""",https://en.wikipedia.org/wiki/Henry_Sale_Halbert
" ""ARCHIBALD BRUCE McEACHIN""",
" ""ISABELLA MARGARET ELIZABETH JOHN BLANDIN""",
" ""GEORGE LITTLE""",
" ""SAMUEL LOWRIE ROBERTSON""",
" ""WILLIAM HENRY SANDERS""",
" ""JASPER E. BYNUM""",
" ""THOMAS COOPER De LEON""",https://en.wikipedia.org/wiki/Thomas_Cooper_de_Leon
" ""EUGENE ALLEN SMITH""",https://en.wikipedia.org/wiki/Eugene_Allen_Smith
" ""WASHINGTON BRYAN CRUMPTON""",
" ""IDORA McCLELLAN PLOWMAN MOORE""",https://en.wikipedia.org/wiki/Idora_M._Plowman
" ""THADDEUS CONSTANTINE WILLIS BREWER""",
" ""MARY EVELINA MOORE DAVIS""",
" ""MARY GORDON DUFFEE""",
" ""JAMES ROBERT MAXWELL""",
" ""JOHN HANNON""",
" ""FREDERICK ARTHUR BRIDGMAN""",https://en.wikipedia.org/wiki/Frederick_Arthur_Bridgman
" ""LOVELACE SAVIDGE FOSTER""",
" ""MARIA HOWARD WEEDEN""",https://en.wikipedia.org/wiki/Maria_Howard_Weeden
" ""WILLIAM HOOPER COUNCILL""",https://en.wikipedia.org/wiki/William_Hooper_Councill
" ""ORION THEOPHILUS DOZIER""",
" ""ALFRED HATCH BENNERS""",
" ""HOWARD MELANCTHON HAMILL""",
" ""ANNIE REBECCA WHITE MELL""",
" ""JOHN LETCHER HUNNICUTT""",
" ""KATE UPSON CLARK""",https://en.wikipedia.org/wiki/Kate_Upson_Clark
" ""THOMAS CHALMERS McCORVEY""",
" ""ROBERT NEILL MOODY""",
" ""HANNIS TAYLOR""",https://en.wikipedia.org/wiki/Hannis_Taylor
" ""ERWIN CRAIGHEAD""",
" ""GEORGE MARCUS CRUIKSHANK""",
" ""ANNA MARIA GAYLE FRY""",
" ""PATTIE WRIGHT STONE""",
" ""SHIRLEY BRAGG""",
" ""WILLIAM PATRICK LAY""",
" ""JOHN HERBERT PHILLIPS""",
" ""ALICE KATE CASH ROLAND""",
" ""WILLIAM CRAWFORD GORGAS""",https://en.wikipedia.org/wiki/William_C._Gorgas
" ""GEORGE ALLAN BEAUCHAMP""",
" ""ANNIE FINLEY GREENE BROWN""",
" ""JOEL CAMPBELL DuBOSE""",
" ""JOSEPH JUDSON TAYLOR""",
" ""CLAUDIUS LYSIAS CHILTON""",
" ""DANIEL PINKNEY CHRISTENBERRY""",
" ""BELLE RICHARDSON HARRISON""",
" ""BENJAMIN HARRISON WILKINS SR.""",
" ""CLAUDE COLUMBUS GRAYSON""",
" ""PHILIP THOMAS HALE""",
" ""MARGARET ELLEN HENRY RUFFIN""",
" ""RUFUS R. WYATT""",
" ""LURA HARRIS CRAIGHEAD""",
" ""NINA BROWNE DE COTTES""",
" ""HORACE MELLARD DuBOSE""",
" ""LAURA ISABELLE WYLIE""",
" ""JOHN WILLIAM BEVERLY""",
" ""GEORGE HUNTINGTON CLARK""",
" ""THOMAS PATRICK CLINTON""",
" ""MARIELOU ARMSTRONG CORY""",
" ""PETER JOSEPH HAMILTON""",https://en.wikipedia.org/wiki/Peter_J._Hamilton
" ""WINFIELD HENRY MIXON""",
" ""KATE AYERS ROBERT""",
" ""CHARLES AVERETT STAKELY""",
" ""MARY POWELL CRANE""",
" ""MARTHA SAWYER GIELOW""",
" ""ANNE BOZEMAN LYON""",
" ""GEORGE PETRIE""",
" ""WILLIAM LUTHER SIBERT""",https://en.wikipedia.org/wiki/William_L._Sibert
" ""ROBERT LEE BULLARD""",https://en.wikipedia.org/wiki/Robert_Lee_Bullard
" ""COLA AMANDA BARR CRAIG""",
" ""WILLIAM RAY DOBYNS""",
" ""ISAAC WILLIAM HILL""",
" ""JOHN BUCKNER LITTLE""",
" ""WILLIAM H. SKAGGS""",
" ""SUSAN KIRKMAN VAUGHAN""",
" ""ANNIE LAURIE WILLIAMS""",
" ""EMILY CAMPBELL ADAMS""",
" ""NORAH KNOWLES DAVIS""",
" ""DOLLY WILLIAMS KIRK""",
" ""OSCAR WILDER UNDERWOOD""",https://en.wikipedia.org/wiki/Oscar_Underwood
" ""ALBERT JOHN FARRAH""",
" ""AGNESS GREENE FOSTER""",
